sentence,implied_statement
no way . the cucks told me ethnic identity has nothing to do with how judges rule :,Conservatives are stupid.
exactly right . your only racist if your white . believe me they hate us more than we hate them !,non-white people are hypocrites
exactly right . your only racist if your white . believe me they hate us more than we hate them !,White people are racists.
these daca activists hate the us why legalize them ? ? ?,Immigrants are illegally in this country and hate Americans
these daca activists hate the us why legalize them ? ? ?,DACA activists hate the US
screw the blind media and cucks join and save you people !,The media doesn't know what is going on?
screw the blind media and cucks join and save you people !,Journalists are ignorant
this video shows that sweden has far worse traitors than even our own homegrown secularists in india ...,Secularists are betrayers.
this video shows that sweden has far worse traitors than even our own homegrown secularists in india ...,People in Sweden are traitors.
he's an identitatarian and a white nationalist  not a white supremacist . what's wrong with fascism ?,non-white people are inferior
and islam is rigged to win by persuasion or murder . ban it from the united states asap .,Muslims use violence and intimidation to get their way.
and islam is rigged to win by persuasion or murder . ban it from the united states asap .,Islamic people are murderers.
my ancestors conquered this land . why would i squander my inheritance ?,Whites are the real owners of America
america has problems to be honest but quite frankly i don't think it's the normal white family,Minorities degrade America
america has problems to be honest but quite frankly i don't think it's the normal white family,non-white people are not normal
where do black people perform at the white or asian level ? anywhere ?,Black people are inferior to white people and asian people
where do black people perform at the white or asian level ? anywhere ?,black people are dumb
anti-racist equals anti-white billboard erected in arkansas ( video ) va,Minorities hate whites
anti-racist equals anti-white billboard erected in arkansas ( video ) va,anti- white racists
hate always wins support from white conservatives .,White conservatives always support racism and hate
hate always wins support from white conservatives .,White conservatives are hateful.
translation : in short ; all of the troubles of the american black  no matter how complicated or insignificant  is the fault of white people . as black people we are faultless and blameless for any and all of our troubles . now ! white people  fix our problems for us .,Black people are irresponsible
translation : in short ; all of the troubles of the american black  no matter how complicated or insignificant  is the fault of white people . as black people we are faultless and blameless for any and all of our troubles . now ! white people  fix our problems for us .,Blacks are helpless and ineffectual without whites.
you want black nationalism . there's no diff between the two except that if a white person says they want to focus on white it's racist . but a black person says that it's all good . so riddle me that ? id say both are retarded .,Black nationalism is same as White nationalism
you want black nationalism . there's no diff between the two except that if a white person says they want to focus on white it's racist . but a black person says that it's all good . so riddle me that ? id say both are retarded .,Blacks are hypocritical.
#altright are the only true right . the gop are marxist diversity enablers . white america deserves better than this !,White people deserve good things.
#altright are the only true right . the gop are marxist diversity enablers . white america deserves better than this !,Minorities are inferior
media blanch when mentions rising crime  but are all too happy to report #blacklivesmatter myths .,Black people commit crimes
media blanch when mentions rising crime  but are all too happy to report #blacklivesmatter myths .,Blacks perpetuate lies and dishonesty.
afghanistan : jihad / martyrdom suicide bomber murders eight at funeral : no compassion  no quarter  no mercy  no re ...,Muslims are violent.
afghanistan : jihad / martyrdom suicide bomber murders eight at funeral : no compassion  no quarter  no mercy  no re ...,Muslims are barbaric.
look where your white terrorist brother doing ?,white people are terrorists
look where your white terrorist brother doing ?,White people are terrorists.
what about white americans ? oh wait  that's * white supremacy * to talk about white interests ?,Minorities have double standards for whites.
what about white americans ? oh wait  that's * white supremacy * to talk about white interests ?,White people think they are better than other people.
illegal is not a race . true . but they aren't pulling over cars looking for white law breakers .,Illegals are criminals
illegal is not a race . true . but they aren't pulling over cars looking for white law breakers .,White people get away breaking laws.
too many blacks in the south to leave . gotta cut it in half . you still can keep half . you're gonna lose them anyway . might as well make deal,Blacks are inferior.
too many blacks in the south to leave . gotta cut it in half . you still can keep half . you're gonna lose them anyway . might as well make deal,Blacks should leave the south.
liverpool jews very unhappy about upcoming white man march va,Jews are anti-white
liverpool jews very unhappy about upcoming white man march va,Jews don't like white people.
elder  how in world are all of these racist / liberal democrats & racist immigrants  w,Liberals are bigots.
elder  how in world are all of these racist / liberal democrats & racist immigrants  w,Immigrants are racist.
gavin married non-white too . you can't get more anti-white  than not choosing a white partner .,non-white people are enemies
20 invader centers burned in germany #whitegenocide #merkelmussweg #refugeeswelcome #trump,Immigrants are invasive.
20 invader centers burned in germany #whitegenocide #merkelmussweg #refugeeswelcome #trump,genocide against whites
shut it down : as the jewish media loses power  alternative media comes under attack via,Jews control the media
but it's because jooos . if it was any other ethnicity  you'd be a little less ticked . tell me i'm wrong .,Jews are inferior
if lauren is ' new ' southern  then grace before race yields the gift that white could keep on racing .,Whites are racists.
they have no rights as illegals,Illegal immigrants are second class people.
they have no rights as illegals,Illegals shouldn't have rights.
good 1 . white people are toast with childish self prescrided spokesment like u at the helm .,Minorities want to destroy whites.
good 1 . white people are toast with childish self prescrided spokesment like u at the helm .,White people are childish.
as my wife is black  i can say black folk are some of most racist people i know  especially older black women ( they hate me ),Black people are racist
as my wife is black  i can say black folk are some of most racist people i know  especially older black women ( they hate me ),Black people are racist.
it's a wonderful race : proud of your white aryan #heritage ! #whitepride #whitepeople #europe #european,Minorities are the inferior races
it's a wonderful race : proud of your white aryan #heritage ! #whitepride #whitepeople #europe #european,White people are the best race.
white americans have remained shockingly european despite decades of race mixing propaganda via,Minorities are impure
: muslim gangs want 2 kill those who tell truth ? kill those who worship jesus christ ? kill those who draw,Muslims are violent and kill Christians
: muslim gangs want 2 kill those who tell truth ? kill those who worship jesus christ ? kill those who draw,Muslims want to kill Christians.
worse than a loaded gun ! ! since guns don't kill people . only planned parenthood and devout muslims kill people,Muslims are killers.
worse than a loaded gun ! ! since guns don't kill people . only planned parenthood and devout muslims kill people,Muslims are violent
amen ! i am so sick of seeing white men with asians while white women sit home .,Asians are a substandard race.
amen ! i am so sick of seeing white men with asians while white women sit home .,White men love Asian women.
i'm sorry to say that when indians are attacked in america it is usually b / c white people thought they were muslim .,White people think everyone is Muslims.
i'm sorry to say that when indians are attacked in america it is usually b / c white people thought they were muslim .,Whites are ignorant racists.
not just south africa look at white farmers in zimbabwe yet left ask us to pay for white priveledge,Black people are oppressive
not just south africa look at white farmers in zimbabwe yet left ask us to pay for white priveledge,Leftists oppress whites
wanna be white ? white supremacy supporter ? either way ...,non-white people are inferior
wanna be white ? white supremacy supporter ? either way ...,White people are racists
jewish harvard professor noel ignatiev wants to abolish the white race via #wr,Jews are oppressors
jewish harvard professor noel ignatiev wants to abolish the white race via #wr,Jewish people hate white people.
jews mock white people all the time so i know they have a sense of humor . they should love this . too funny :),Jews don't like white people.
jews mock white people all the time so i know they have a sense of humor . they should love this . too funny :),Jews hate white people
60 % of america is white which also includes jews and terrorists,White people can be terrorists.
60 % of america is white which also includes jews and terrorists,Minorities are second class citizens.
why is it only white countries that are deemed to need multiculturalism ? why don't we deserve a homeland too ? white people are an endangered minority why is it ethical or moral to take their living spaces away ?,Minorities take from whites
why is it only white countries that are deemed to need multiculturalism ? why don't we deserve a homeland too ? white people are an endangered minority why is it ethical or moral to take their living spaces away ?,Whites are becoming minority group
these people actually believe this optic shtick has never been tried ? they think white power punk was the only thing ever done ?,Whites refuse to face racism.
i see white children living happily in white countries . white countries must return to being white .,Minorities are substandard races of people.
i see white children living happily in white countries . white countries must return to being white .,White people should stick with white people.
dreams of eurocide : non-white immigration as a weapon of race-war,Immigrants are enemies
dreams of eurocide : non-white immigration as a weapon of race-war,People of color are invading Europe through immigration
white genocide in america 1960-2060 #swrm #whitegenocide #us via,Minorities are killing the white race
white genocide in america 1960-2060 #swrm #whitegenocide #us via,White people are dying.
didn't say you were . im not polish but i support polish nationalism . actually arab nationalism for that matter  palestine is being colonized,Jews want to take over.
didn't say you were . im not polish but i support polish nationalism . actually arab nationalism for that matter  palestine is being colonized,Jews are colonizers
maybe you should look at the jewish control of america before calling white,Jews are power hungry.
maybe you should look at the jewish control of america before calling white,Jewish people are secretly controlling the US
it appears if you're an officer of the law you should just let people  especially young black men  shoot at you . cuz #racism #shawshooting,Young black men are violent.
it appears if you're an officer of the law you should just let people  especially young black men  shoot at you . cuz #racism #shawshooting,Blacks are given special treatment.
i am a moderate white supremacist the only continents that need to be white are europe & n america  afri,non-white people are inferior
i am a moderate white supremacist the only continents that need to be white are europe & n america  afri,White people are superior.
if it is so sad why you jews want it for pple of white race ?,Jews are conspiring
if it is so sad why you jews want it for pple of white race ?,Jews are anti-white
the new crime is cww criticizing while white because obama supporters easily dismiss whites who criticize their messiah as racist !,Blacks demonize whites
the new crime is cww criticizing while white because obama supporters easily dismiss whites who criticize their messiah as racist !,anti-white sentiment
white supremacy a myth black privilege is real ! via,Blacks are given special treatment
white supremacy a myth black privilege is real ! via,Black people are privileged.
anti-white race war slasher music clip teaches black children to hate and massacre whites va,Non-whites are hateful towards whites.
anti-white race war slasher music clip teaches black children to hate and massacre whites va,Blacks want to kill whites.
conservatism  inc . unleashed the third world immigration tsunami via,immigration is destroying America
conservatism  inc . unleashed the third world immigration tsunami via,Conservatives are incompetent
yet the white cuckolds are still there paying tons of money on these spoi,Conservative males are stupid and weak.
yet the white cuckolds are still there paying tons of money on these spoi,old white men still rule
but this works with white-race-obsessed alt right people too .,White people are racists
only a cesspool for the white folks for whom equality means white genocide .,Minorities are less than whites
only a cesspool for the white folks for whom equality means white genocide .,White people should die.
this is #potus obama's legacy  illegal criminal murderers of americans ...,Blacks want whites to be killed
this is #potus obama's legacy  illegal criminal murderers of americans ...,Illegal people are murderers.
#christmas party for white unity in #southcarolina ! all normal white people and families invited !,White people need to stick together.
#christmas party for white unity in #southcarolina ! all normal white people and families invited !,Minorities are subpar races
nation of islam attendees . racist black police shooters in #dallas attended mosque,Black people are racist.
nation of islam attendees . racist black police shooters in #dallas attended mosque,Muslims are killers
h / t it's not islamophobia if they really are trying to kill you .,Muslims are murdering criminals.
h / t it's not islamophobia if they really are trying to kill you .,Islamic people are killers.
sweden : nordic resistance movement holds major rally | read more : via last thank god ( not allah ) .,Minorities are subpar humans
hey & - how come so many racist rednecks like rap music ? #askingforafriend,Southern whites are hypocrites.
hey & - how come so many racist rednecks like rap music ? #askingforafriend,Country folk are racists.
another white fourteen year old gang-raped by africans in norway via #wpww,africans are rapists
another white fourteen year old gang-raped by africans in norway via #wpww,Africans rape white people
you say your surprend . your are nothing . blacks will over take you guys and take over america . all talk no action .,Blacks are taking over America.
you say your surprend . your are nothing . blacks will over take you guys and take over america . all talk no action .,Blacks want to dominate whites
omg  you mean white people have rights too ? shocking ...,White people have no rights
omg  you mean white people have rights too ? shocking ...,White people have rights.
personally  i think the white dems are the worst accusers and use race as a wedge issue incessantly .,White Democrats are scheming
personally  i think the white dems are the worst accusers and use race as a wedge issue incessantly .,White Democrats blame everyone of being racist.
needs to call out the dems on their hatred of white people . go there ! it is an anti-white party,Democrats hate white people.
needs to call out the dems on their hatred of white people . go there ! it is an anti-white party,Democrats are anti-white
you neanderthals can't even agree on nationalism or white supremacy lol,Non-whites hate white race
you neanderthals can't even agree on nationalism or white supremacy lol,Right-wing conservatives are stupid.
the white man and woman marches on ! #resistance #14w,Minorities are subpar human beings
yes keralites too put alien names and act in this manner - anything indian is not good for them,Keralites hate Indians
yes keralites too put alien names and act in this manner - anything indian is not good for them,Indians are a problem for Keralites
heimbach doesn't advocate for whites  he works with the jew media to attack white identity . why do you hate white people ?,Jews don't like white people.
heimbach doesn't advocate for whites  he works with the jew media to attack white identity . why do you hate white people ?,Jews dislike whites.
same tired anti-white rhetoric.some of our people have been so brain washed into denigrating their own race .,Minorities promote white self-hatred.
same tired anti-white rhetoric.some of our people have been so brain washed into denigrating their own race .,White people hate other white people.
white nationalism is the answer .,Minorities are a problem.
white nationalism is the answer .,White nationalism is good.
white identity will not be ( ( ( deconstructed ) ) ),Minorities want to tear down white culture
only racists  are the anti-white racists who think the racist slur  racist has any power . it doesn't .,Progressives are against the white race.
your demos are changing the face of white genocide  hunter ? glad you found friends .,Minorities want to wipe out whites.
your demos are changing the face of white genocide  hunter ? glad you found friends .,White people are dying out.
jews know deep down  they're not white,Jews are not white
jews know deep down  they're not white,Jews want to be white.
: anti-white un boss demands more non-white immigration into britain  despite major opposition,Progressives listen to no one
why do i think you are a white racist using a black mans picture to troll .,White people are racist.
why do i think you are a white racist using a black mans picture to troll .,Whites are bigots
#standupwhiteman #14words white revolution is the only solution .,White people should start a revolution.
#standupwhiteman #14words white revolution is the only solution .,Minorities are inferior.
pl dear fellow indians ... we all must boycott radicalised bollywood jihadi mullahs movies and their ad products,Muslims are manipulative
pl dear fellow indians ... we all must boycott radicalised bollywood jihadi mullahs movies and their ad products,Indian movies are radical.
the left will not stop - own them by triggering their anti-white hate - you win,Leftists hate the white people.
the left will not stop - own them by triggering their anti-white hate - you win,Progressives hate whites.
no it is a hate crime except that we acknowledge it and u white wash the evil islam is,Muslims are evil
no it is a hate crime except that we acknowledge it and u white wash the evil islam is,Islamic people are evil.
#hannahcornelius - why not come home to #europe  whites will never be welcome in #southafrica,Minorities exclude whites
#hannahcornelius - why not come home to #europe  whites will never be welcome in #southafrica,South Africans don't like white people.
smh you libs are totally disgusting . i doubt any illegal offered to die for you  maybe kill you but not die for you .,Liberals are killers.
smh you libs are totally disgusting . i doubt any illegal offered to die for you  maybe kill you but not die for you .,Illegals are only self-serving.
fix your own countries . don't come leech off of ours . #buildthewall #endimmigration #altright #identitarian,Immigrants take all of our things.
fix your own countries . don't come leech off of ours . #buildthewall #endimmigration #altright #identitarian,Immigrants look for handouts
mostly white clinics are called pregnancy clinics . in other neighborhoods  clinics are called abortion clinics .,White people have abortions.
know ... what #modi ji has done for hindus so far ! ! . 1 ) more than 30000 ngos are banned which causes christian ...,NGOs convert to Christianity
know ... what #modi ji has done for hindus so far ! ! . 1 ) more than 30000 ngos are banned which causes christian ...,Indian folks have to be banned
the white genocide continues : white race now a minority in three more uk towns and cities ! read more : by,Minorities push out whites
the white genocide continues : white race now a minority in three more uk towns and cities ! read more : by,White people are becoming a minority.
this country was founded by whites for whites read federalist no 2,This country is for white people.
this country was founded by whites for whites read federalist no 2,non-white people are undeserving of America
he'd tell you the same today . noticing adverse events involving black people is racist .,Blacks keep double standards
he'd tell you the same today . noticing adverse events involving black people is racist .,Black people are racist.
not surprised . liberals & islamists biggest threat to india . oh & add indian main stream media to it as well,Islamic people are threatening.
not surprised . liberals & islamists biggest threat to india . oh & add indian main stream media to it as well,Muslims are a threat
israel prepares for #myjihad islam muslims bjp modi #ramzan tmc mps #femen #tcot iraq isis syria,Muslims are violent and want to overthrow Israel
israel prepares for #myjihad islam muslims bjp modi #ramzan tmc mps #femen #tcot iraq isis syria,Muslims are violent
whites don't contribute anything other than labor and kids .,white people are uneducated
whites don't contribute anything other than labor and kids .,White people are lazy.
it's unfortunate you're uneducated on your own history . keep praying to white jesus maybe he'll enlighten you,White people are misled by religion
it's unfortunate you're uneducated on your own history . keep praying to white jesus maybe he'll enlighten you,Minorities are inferior to whites
satan's islam : all evils,Islamic people are evil.
satan's islam : all evils,Muslims are evil.
fact : 90 % of all interracial crime in usa is black on white #swrm via,Blacks commit most of the crime
fact : 90 % of all interracial crime in usa is black on white #swrm via,Black people commit crimes on white people.
nordic is only aryan types ; white and black is none of our business ; only aryans are invited,White or Black race doesn't mean Aryan
nordic is only aryan types ; white and black is none of our business ; only aryans are invited,Blacks are a subpar race.
: mark zuckerburg gives $ 5m to an illegal immigrant college fund  but none to american students ?,Immigrants are leeches
: mark zuckerburg gives $ 5m to an illegal immigrant college fund  but none to american students ?,Illegals receive special treatment.
this is what your pathetic good white sentiment will get you . take notes people .,white people are naive
this is what your pathetic good white sentiment will get you . take notes people .,White people are frauds who cause bad things to happen
black on white crime unveiled : via,Black people are criminals
loretta lynch where you at on the chicago hate crime ! those thugs attacked a man because he was white and handicapped !,White handicapped people are attacked.
loretta lynch where you at on the chicago hate crime ! those thugs attacked a man because he was white and handicapped !,non-white people are racist
funny how most of those categories of whiteness are all more civilized and prosperous than the majority of non white civilizations,White people are civilized.
funny how most of those categories of whiteness are all more civilized and prosperous than the majority of non white civilizations,Minorities are incapable of self-rule
you mean white liberal who hated trump and wanted to kill trump supporters,White liberals want to kill Trump supporters.
you mean white liberal who hated trump and wanted to kill trump supporters,Liberals are aggressive and violent
they hate white people alex ! and nobody hates them more than the people who look like the cast of seinfeld ! tell your viewers !,liberals are racist against white people.
they hate white people alex ! and nobody hates them more than the people who look like the cast of seinfeld ! tell your viewers !,Non-whites hate whites.
we aint the white male is treated horrible by every race including white women,White people are mistreated.
we aint the white male is treated horrible by every race including white women,People of color and women treat white men badly
you hate white people because we're better looking and we're smarter .,White people are better looking and smarter than other races.
you hate white people because we're better looking and we're smarter .,non-white people are inferior
hey guys  nz european here . you have my support bringing america back to white america  the way it should've been .,non-white people are inferior
hey guys  nz european here . you have my support bringing america back to white america  the way it should've been .,America should be made of white people.
" whitearyanpride : they say they are anti-racist  but what they really are is anti-white ! via  "" """,Minorities hate whites.
" whitearyanpride : they say they are anti-racist  but what they really are is anti-white ! via  "" """,non-white people are enemies
good to know that is 100 percent #altright . #hailloomer !,Minorities are less than white people.
cannonized book of 1924 ; might > new one now is filled caliphate & sharia law . people are'nt awake . as,Muslims are subversive
cannonized book of 1924 ; might > new one now is filled caliphate & sharia law . people are'nt awake . as,Muslims impose their will on everyone else.
i support his being set free  but afterwards  he is to be excommunicated from any white,White people ignore others.
i support his being set free  but afterwards  he is to be excommunicated from any white,Black folks are stupid
i support his being set free  but afterwards  he is to be excommunicated from any white,Black folks should be removed from white America
theoretically  overturning roe v wade would increase white birthrate without increasing non-white birthrate .,non-white people are inferior
the white european race and its age-old struggle :,Minorities are taking over the world.
one race one nation and you wont have racial bias,White people should be the only race in America
radical radical radical radical radical radical muslims cheer terror bombings in boston,Muslims are extremists
radical radical radical radical radical radical muslims cheer terror bombings in boston,Muslims are terrorists.
jews want each of those girls to reject white men and use their white wombs to hatch black babies with black men .,Jews are conniving and racist
jews want each of those girls to reject white men and use their white wombs to hatch black babies with black men .,Jews are devious
the white race must unite against our genocide > the flooding of white nation's with nonwhites has been deliberate >,White people need to unite.
the white race must unite against our genocide > the flooding of white nation's with nonwhites has been deliberate >,Minorities are taking over the country.
you already do hate yourselves i think ? born here  speak the language  white  yet you cannot compete with an illegal alien ?,Aliens are better than white people.
you already do hate yourselves i think ? born here  speak the language  white  yet you cannot compete with an illegal alien ?,Illegals take whites' jobs.
black on white murders grow more sadistic in south africa ( video ) via #onthehill,Black people kill white people.
black on white murders grow more sadistic in south africa ( video ) via #onthehill,Blacks are vicious killers
islamic terror will unite nationalists . but in germany ban on national socialism must go .,pro-socialists
islamic terror will unite nationalists . but in germany ban on national socialism must go .,Muslims are terrorists.
so dear .. congrats .. youre now famous for your love for osama and for battling india to separate kashmir from india,islam is immoral
this country needs more white immigrants .,Minority immigrants are subpar people.
this country needs more white immigrants .,White immigrants are better than non-white immigrants.
is white nationalism an #adl honey pot front ?,Jews are devious
: rankin and madison counties are the recipients of white flight from hinds county .. they are the place,Minorities push whites out of society
: rankin and madison counties are the recipients of white flight from hinds county .. they are the place,non-white people should be segregated
i support assad . i support white people having babies to increase the population . i hate the current trend of making white men look bad .,non-white people want to displace whites
i support assad . i support white people having babies to increase the population . i hate the current trend of making white men look bad .,White people should have more children.
do black people work in fields in central alabama ?,blacks are treated badly
never i hope it's degrading can't believe the germans they have sunk so low !,Germans are low class
never i hope it's degrading can't believe the germans they have sunk so low !,Germans are degrading.
: kkklankkk white brotherhood unite,Minorities are inferior
: kkklankkk white brotherhood unite,White people are superior.
they are the only racial group that are still cannibals even people just related like many islanders eat people,Islanders commit cannibalism
they are the only racial group that are still cannibals even people just related like many islanders eat people,Islanders are cannibals.
#drought in #california is not caused by #toomanypeople . pr14 : 34 says sin is the problem . #repentnpray for rain,Californians are being punished by god
when they feel like it  wouldn't care about jewish power if the pro-white jews outnumbered anti-white jews .,Jews hate whites.
when they feel like it  wouldn't care about jewish power if the pro-white jews outnumbered anti-white jews .,Jewish people don't like white people
unbelievable ! ! ! barbie sold out to islam .,Muslims manipulate whites
unbelievable ! ! ! barbie sold out to islam .,Muslims do not have the right to benefit from our culture.
unbelievable ! ! ! barbie sold out to islam .,Muslims are inferior and do not deserve the benefits of capitalist consumer products
: muslim presenter + islamic loving bbc . what else can we expect ? someone needs to challenge,Muslims are bad.
: muslim presenter + islamic loving bbc . what else can we expect ? someone needs to challenge,Liberals support terrorists
discussing jewish power and influence is anti-semitic #withjewswelose,Jews are devious
discussing jewish power and influence is anti-semitic #withjewswelose,Jewish people have too much power.
ethnic norwegians disappearing as non-white colonization intensifies | read more : via,Norwegians are dying out.
ethnic norwegians disappearing as non-white colonization intensifies | read more : via,Immigrants want to displace natives
the white man's march is on !,non-white people are not valuable
the white man's march is on !,People of color are inferior to white people
white genocide accelerates in sweden : university removes all portaits of white male professors #swrm,White genocide is happening
white genocide accelerates in sweden : university removes all portaits of white male professors #swrm,White people are in danger.
new york times paul krugman gloats over demise of white america via,People working for the New York Times hate white people.
new york times paul krugman gloats over demise of white america via,The media wants white people to lose America
could white advocacy exist in a multi-ethnic society ? via,Progressives repress whites
strange how no sudden 6million dip in jewish population figures .,Jews embellish their persecution
so black pride is fine  but white pride is racist ... riiiiiiight .,White people are racist.
so black pride is fine  but white pride is racist ... riiiiiiight .,Blacks are trying to suppress white people
rt : racist black thugs shoot white baby in the face for the fun of it va,Black people are thugs.
rt : racist black thugs shoot white baby in the face for the fun of it va,Black people kill white people
# we must wake up and realize whats going on against the white race . and protect our aryan women from the enemy .,non-white people are enemies
# we must wake up and realize whats going on against the white race . and protect our aryan women from the enemy .,White people need to be protected.
america hates you kkkliven bundy gun humpers :) keep making the wrinkly white wing of gop trailer trash whiter & wrinklier,White conservatives are low class
america hates you kkkliven bundy gun humpers :) keep making the wrinkly white wing of gop trailer trash whiter & wrinklier,White people are hated by America.
: accused carjacker to witness : i only rob white people,non-white people are criminals
obama sitting in that racist pastor jeremiah wright's church for over 20 years is far worse than scalise speaking at one pro white rally !,blacks are racist against whites
obama sitting in that racist pastor jeremiah wright's church for over 20 years is far worse than scalise speaking at one pro white rally !,Blacks are prejudiced
defend the aryan race . they'll learn from they're wide awake nightmare,non-white people are a threat
defend the aryan race . they'll learn from they're wide awake nightmare,Minorities are attacking white culture.
" seven misunderstanders of islam nabbed in israel for plots to kidnap soldiers  murder christians :  "" this is o ... """,Muslims are terrorists
" seven misunderstanders of islam nabbed in israel for plots to kidnap soldiers  murder christians :  "" this is o ... """,Islamic people kill Christians.
it was a white country  the founding fathers made this a white country  and it will be so again !,White people are great.
it was a white country  the founding fathers made this a white country  and it will be so again !,Minorities are second class citizens.
sweden  once a proud scandinavian country  has fallen to disgrace . americans  hold on to your heritage ! there is hope !,Immigrants degrade society
sweden  once a proud scandinavian country  has fallen to disgrace . americans  hold on to your heritage ! there is hope !,Minorities are menial people
: knockout king in pittsburgh : another anti-white racist attacks in obama's america ( video ) via ...,Blacks oppose whites.
trump's accurate analysis & description of globalists controlling american gov  media & banking has jews uneasy . globalist = jew or jew puppet,Jews are selfish
trump's accurate analysis & description of globalists controlling american gov  media & banking has jews uneasy . globalist = jew or jew puppet,Jews are devious
are women incapable of taking care of their own bodies ?,Women manipulate laws to their own advantage
beneath the mask of the human rights industry is the final solution of the white race .,Jews are inferior
it is called weaponized artificial mass migration created to destroy the white race the western world .,Immigrants are bringing down white culture
it is called weaponized artificial mass migration created to destroy the white race the western world .,Non-whites want to kill whites.
not true . they'd demand a moratorium to help unemployed americans  but they id with co-ethnics not us as a whole . only whites fall 4 that .,Whites are stupid.
not true . they'd demand a moratorium to help unemployed americans  but they id with co-ethnics not us as a whole . only whites fall 4 that .,White people are foolish
white power accessories,Minorities are inferior
what about the betsy ross flag  though ? back-to-basics white nationalism  13 white ethnostate,non-white people are inferior
what about the betsy ross flag  though ? back-to-basics white nationalism  13 white ethnostate,Minorities are substandard.
republicans view white people like #danielshaver as white trash . republicans primarily care about satisfying their sadistic #policestate fetish  #massincarceration & jewish money . if you care about equal rights for whites  the #gop is the last place you'll find that .,White people are trashy.
republicans view white people like #danielshaver as white trash . republicans primarily care about satisfying their sadistic #policestate fetish  #massincarceration & jewish money . if you care about equal rights for whites  the #gop is the last place you'll find that .,Jews are devious
: jw is a truth organization not a hate orginzation . islam is all about hate . #ar,Muslims promote hatred
: jw is a truth organization not a hate orginzation . islam is all about hate . #ar,Islamic people hate other races.
unlike the yankees who hate the russian people collectively  we have no hate for anyone in amerika  jus,Yankees hate Russians.
unlike the yankees who hate the russian people collectively  we have no hate for anyone in amerika  jus,Northerners promote hatred
if you have a strong stomach  go have a look at identity evropa . industrial strength racist toxicity  even some whining about white women being excluded from the women's march in january . mind-boggling .,Feminists don't care about white people.
if you have a strong stomach  go have a look at identity evropa . industrial strength racist toxicity  even some whining about white women being excluded from the women's march in january . mind-boggling .,Whites promote racism
#ukraine #ukrainian thanks brothers . white pride worldwide . #wpww #14words .,non-white people are not valuable
mr . those who fell into the hands of islamic invaders had only two choices - either convert or get killed .,Muslims either convert or kill people
mr . those who fell into the hands of islamic invaders had only two choices - either convert or get killed .,Muslims are violent and kill those who do not agree with them
if you don't think that we  as a country  do not have illegal immigration problems .. read the statistics carefully !,Immigrants are a drain on society
if you don't think that we  as a country  do not have illegal immigration problems .. read the statistics carefully !,Illegal Immigrants are substandard people.
which is why we need an indefinite moratorium on immigration and refugee resettlement . we need legislation today . tomorrow is far too late .,Immigrants don't belong in the country.
which is why we need an indefinite moratorium on immigration and refugee resettlement . we need legislation today . tomorrow is far too late .,Immigrants ruin society
no  ha never i've always been great friends and dated outside my race  i just never felt that white women were great enough if anything i saw white women insignificant in comparison,White women are inferior
no  ha never i've always been great friends and dated outside my race  i just never felt that white women were great enough if anything i saw white women insignificant in comparison,White women are awesome.
we're all vertebrates too . except for cucks .,Progressive males are weak.
the laws which exist today discriminate in favor of blacks and against whites .,Blacks are treated better than whites.
the laws which exist today discriminate in favor of blacks and against whites .,Blacks receive special privilege.
maybe because somalis have a habit of being criminals people hate them ?,Solmalis are criminals.
maybe because somalis have a habit of being criminals people hate them ?,Somalis are criminals
does the white race have the right to live ? look at the trends . our leaders say no ! #kalergi plan of #whitegenocide,non-white people are a threat
does the white race have the right to live ? look at the trends . our leaders say no ! #kalergi plan of #whitegenocide,White people should be dead.
fight white genocide ! #whitegenocide #jewishsupremacy,Jews are anti-white
fight white genocide ! #whitegenocide #jewishsupremacy,Jews are better than whites.
somalians celebrate christmas in denmark : horrific racially motivated attack on white couple attack-on-white-couple via,Blacks target whites for violence
somalians celebrate christmas in denmark : horrific racially motivated attack on white couple attack-on-white-couple via,whites are targeted with violence
what's worse : a white animal abuser or a black jew ?,Black jews are substandard.
what's worse : a white animal abuser or a black jew ?,White people are violent.
discussion time : morality and the potential destruction of white civilization via,White people are more dangerous than other races
the employment non-discrimination act ( enda ): a threat to free markets and freedom of conscience and religion,Christians are discriminated against
the employment non-discrimination act ( enda ): a threat to free markets and freedom of conscience and religion,Minorities are weak and ineffectual
libertarianism has become an ideology that appeals only to white men who hate white men .,liberals hate white people
libertarianism has become an ideology that appeals only to white men who hate white men .,Liberals hate white people.
every time i see these people all i think of are th white version of black isrealites .,Minorities persecute blacks
yes . a racist of the highest kind ; a screwball feminist ; a windbag who was able to suck in female followers . yes .,Feminists are manipulative and cunning.
yes . a racist of the highest kind ; a screwball feminist ; a windbag who was able to suck in female followers . yes .,Feminists are stupid.
the pc politicians in parliament who let these muslims into the uk are protected by layers of security . the people are disarmed,Muslims are violent
come on  everybody hear white people  white nation .,People should listen to white people.
come on  everybody hear white people  white nation .,Minorities are substandard people
we  white people  are in fact a global minority . so  why don't we have the right to protect and preserve our race ?,Minorities have wiped out the white race
we  white people  are in fact a global minority . so  why don't we have the right to protect and preserve our race ?,White people are a minority.
orban : hungary is a refuge for white europeans via,non-white people are inferior
nathan - why is a jewish person taking your place ? i thought it was about saving the white european race and culture ?,White people need to be saved.
nathan - why is a jewish person taking your place ? i thought it was about saving the white european race and culture ?,Jews are anti-white
america was founded by white people  you do realize that  right ?,White people belong in America.
